phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,0,16.6666,16.6666,1.9999,10234,103,816791946564,1.9409,0.7689,14.7118,16650800,72500,244200,0,1100,0
walking,0,16.7271,16.6686,1.6404,10234,103,816792113230,1.7090,1.8553,14.9450,16711300,180300,231300,0,1800,0
walking,0,16.6669,16.6682,1.5585,16626,103,816792279916,2.0820,0.5351,14.5719,16650000,71800,480800,0,1400,0
walking,0,16.6672,16.6664,2.0275,10234,102,816792446598,1.5855,0.7450,15.0655,16652400,69100,255800,0,1400,0
walking,0,16.6656,16.7277,1.6343,10474,103,816792613262,1.7862,0.6164,14.9252,16656200,2009300,416100,0,1700,0
walking,0,16.6778,16.6656,1.6435,10310,101,816792780539,1.7746,0.9230,14.8755,16850900,75900,267000,0,1500,0
walking,0,16.6584,16.6692,1.6620,19102,99,816792947195,1.6776,0.5686,14.9748,16437200,73600,236300,0,1600,0
walking,0,16.6659,16.6806,1.6701,16702,99,816793113887,3.8076,0.7838,12.8491,16648900,83100,595200,0,1500,0
walking,0,16.6670,16.8663,2.2159,10310,99,816793280693,1.9035,0.7580,14.9475,16653100,80000,240300,0,1500,0
walking,0,16.6664,16.4553,1.6466,10310,98,816793449356,1.9663,1.1568,14.4711,16646900,96700,262400,0,1500,0
walking,0,16.6707,16.6649,1.6609,10310,99,816793613909,1.8438,0.5307,14.8053,16660700,80100,218100,0,1400,0
walking,0,16.6637,16.6690,2.0081,10310,99,816793780558,1.6872,0.6955,14.9660,16638600,99600,255900,0,1900,0
walking,0,16.6694,16.6617,1.6046,16702,99,816793947248,2.4503,0.4812,14.1967,16652400,84600,503200,0,1500,0
walking,0,16.6687,16.6784,2.0449,10310,99,816794113865,1.6554,0.6662,15.0054,16657400,88200,270100,0,1400,0
walking,0,16.6652,16.6575,1.5739,10310,99,816794280649,1.8299,0.7442,14.8088,16647700,80000,216600,0,1500,0
walking,0,16.6662,16.6672,2.0326,10310,99,816794447224,1.8113,0.8622,14.8411,16726600,76200,211200,0,1300,0
walking,0,16.6680,16.6712,2.0070,10310,99,816794613896,1.8340,0.7366,14.8236,16777900,73600,254900,0,1200,0
walking,0,16.6681,16.6622,1.5811,16702,98,816794780608,1.6213,0.6287,15.0265,16543800,77000,494500,0,1800,0
walking,0,16.6665,16.7393,1.6312,10310,99,816794947230,1.6212,0.5906,15.1055,16873200,78100,238600,0,1700,0
walking,0,16.6683,16.7940,1.7029,10310,98,816795114623,1.6979,0.8024,15.0803,16430100,73600,302900,0,1600,0
walking,0,16.6670,16.5628,2.0531,10382,99,816795282563,1.9049,0.5801,14.6391,16651300,111100,276100,0,1600,0
walking,0,16.6661,16.8892,2.0562,10310,99,816795448191,2.2625,0.8961,14.6110,16558400,83900,238300,0,1600,0
walking,0,16.6676,16.4460,1.6261,16702,93,816795617083,1.6307,0.8402,14.7996,16652000,92900,602400,0,1800,0
walking,0,16.6672,16.6678,2.0787,10310,93,816795781543,1.8410,0.7896,14.8106,16651300,87500,248900,0,1700,0
walking,0,16.6666,16.5750,1.6927,10310,93,816795948221,1.6457,1.0264,14.9128,16649000,86800,239400,0,1300,0
walking,0,16.6661,16.6684,1.7162,10310,93,816796113971,1.7066,0.7211,14.9457,16651800,82100,219900,0,1300,0
walking,0,16.6667,16.6680,2.0664,10310,92,816796280655,1.7486,0.5724,14.9028,16651100,91800,256200,0,1200,0
walking,0,16.6663,16.6636,1.6097,16702,93,816796447335,1.7347,0.4804,14.9144,16650200,83800,509300,0,1300,0
walking,0,16.6669,16.6672,2.0705,10310,93,816796613971,1.5016,0.5268,15.1504,16744500,92200,248200,0,1400,0
walking,0,16.6667,16.6653,1.7521,10310,90,816796780643,1.7143,0.6252,14.9369,16650000,78500,222600,0,1500,0
walking,0,16.6688,16.6637,1.7050,10310,91,816796947296,1.5884,0.5119,15.0618,17035600,76800,234300,0,1500,0
walking,0,16.6671,16.7593,1.6425,10310,91,816797113933,1.5609,0.4972,15.1838,16448300,91100,251600,0,1700,0
walking,0,16.6663,16.6642,1.6415,16702,91,816797281526,1.6262,0.5115,15.0240,16650800,79900,614500,0,1200,0
walking,0,16.6665,17.0505,2.1340,10310,91,816797448168,1.9446,0.7433,15.0912,16386900,91600,256800,0,1600,0
walking,0,16.6665,16.4626,1.7592,10310,91,816797618673,2.2760,0.6878,14.1724,16652700,83500,237300,0,1700,0
walking,0,16.6680,16.6655,2.1248,10310,91,816797783299,2.1410,0.5516,14.5100,16653500,83100,333400,0,1200,0
walking,0,16.6894,16.4008,1.6753,20666,91,816797949954,1.7990,0.4955,14.5881,16677100,90300,236100,0,1300,0
walking,0,16.6454,16.6673,1.6312,16702,294,816798113962,1.4958,1.3060,15.1571,16720900,87600,544900,0,1700,0
walking,0,16.6680,16.6677,1.6742,10310,292,816798280635,1.4923,3.4011,15.1612,16657800,80500,251600,0,1700,0
walking,0,16.6667,16.6928,1.7490,10310,290,816798447312,2.8826,3.0427,13.7947,17036800,79900,252500,0,1400,0
walking,0,16.6673,16.7364,1.7172,10310,291,816798614240,2.5849,0.7096,14.1362,16275300,85200,244700,0,1700,0
walking,0,16.6669,16.6727,2.0511,10310,291,816798781604,1.9239,0.6558,14.7341,16929200,85800,237700,0,1800,0
walking,0,16.6643,17.0525,1.6620,16702,288,816798948331,2.3175,0.5944,14.7196,16644700,82000,593200,0,1800,0
walking,0,16.7251,16.2914,2.1023,10310,288,816799118856,1.7416,0.6141,14.5338,16428300,84000,228800,0,1200,0
walking,0,16.6676,16.9461,1.7193,10310,283,816799281770,2.4524,0.8815,14.4771,16579000,78300,232800,0,1300,0
walking,0,16.6675,16.6611,2.0756,10310,287,816799451231,2.4257,0.6327,14.2191,16800900,78900,244100,0,1500,0
walking,0,16.6655,16.4425,2.0357,10310,287,816799617842,1.8272,0.8008,14.6011,16500700,82600,241200,0,1900,0
walking,0,16.6661,16.5928,1.6445,16702,286,816799782267,1.7059,0.8545,14.8732,16661800,74600,448900,0,1200,0
walking,0,16.6685,16.8157,2.0787,10310,287,816799948195,2.3423,0.6067,14.4588,16697000,74300,225400,0,1500,0
walking,0,16.6671,16.5144,1.7828,10334,287,816800116352,1.8252,0.7751,14.6756,16597600,74000,228500,0,1500,0
walking,0,16.6659,16.6763,2.1228,10310,287,816800281496,1.6517,0.7494,15.0103,16743900,90300,269000,0,1300,0
walking,0,16.6661,16.7131,2.0828,10310,289,816800448259,1.8391,0.5829,14.8581,16808700,83500,316200,0,1600,0
walking,0,16.6656,16.6119,1.6763,54554,288,816800615390,1.6707,0.9738,14.9271,16598100,78400,500200,0,1300,0
walking,0,16.6690,16.7596,2.1494,10334,550,816800781509,1.9394,0.7891,14.8046,16957400,72100,248100,0,1100,0
walking,0,16.6674,16.8228,1.8647,10310,583,816800949105,2.3459,10.3001,14.4629,16486100,78500,251800,0,1500,0
walking,0,16.6657,16.6118,1.9139,10310,583,816801117333,3.1645,10.0915,13.4338,16528100,77300,250200,0,1500,0
walking,0,16.6678,16.9710,1.8821,10310,583,816801283451,2.7024,1.0483,14.2551,16755800,87300,239100,0,1500,0
walking,0,16.6674,16.5000,1.9026,16702,582,816801453161,2.6751,1.4658,13.8111,16497500,66800,496300,0,1400,0
walking,0,16.6664,16.5429,1.9405,10310,582,816801618161,2.5081,0.9429,14.0202,16501300,80300,239200,0,1500,0
walking,0,16.6679,16.7693,2.0797,10310,583,816801783590,2.5422,1.4811,14.2139,16670800,79400,294300,0,1400,0
walking,0,16.6658,16.5109,2.0408,10310,584,816801951283,2.2950,1.0700,14.2027,16632200,79300,297000,0,1500,0
walking,0,16.6684,16.5154,2.0214,10310,584,816802116392,2.2542,1.0288,14.2473,16659100,84000,314900,0,1200,0
walking,0,16.6661,16.6855,1.9343,16702,584,816802281546,2.1725,1.5014,14.4984,16937200,76200,506600,0,1300,0
walking,0,16.6651,16.6470,2.4801,10310,585,816802448401,2.1635,0.9094,14.4688,16573900,72400,234300,0,1300,0
walking,0,16.6678,16.6742,2.0193,10310,585,816802614871,2.2767,1.0261,14.3826,16414500,77000,241700,0,1100,0
walking,0,16.6668,16.9530,2.0726,10310,585,816802781613,2.5100,0.8178,14.4273,16653100,76500,228300,0,1400,0
walking,0,16.6710,16.5868,2.0285,10310,582,816802951143,2.3123,1.5025,14.2618,16659500,73000,214300,0,14800,0
walking,0,16.6648,16.4272,1.9681,16702,583,816803117011,1.6270,0.9354,14.7877,16643400,91200,614800,0,1800,0
walking,0,16.6666,16.6671,2.3603,10310,584,816803281283,1.9836,0.9134,14.6696,16650700,92300,338900,0,1700,0
walking,0,16.6770,16.6755,1.9732,10310,580,816803447954,2.3743,1.2334,14.2854,16671700,88100,351100,0,1400,0
walking,0,16.6564,16.6637,2.0306,10310,571,816803614709,2.9041,1.3001,13.7394,16624600,87700,324800,0,1400,0
walking,0,16.6685,16.6665,2.0951,10310,572,816803781346,3.4595,1.1980,13.1914,16655800,89100,288000,0,1700,0
walking,0,16.6670,16.6932,2.1023,16702,573,816803948011,2.4316,1.4295,14.2403,16649800,83600,659200,0,1200,0
walking,0,16.6667,16.6386,2.1053,10310,570,816804114943,1.8411,1.1149,14.7836,16653200,75600,215700,0,1200,0
