phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,0,16.6694,16.6580,1.7469,16626,103,814397455607,2.5908,1.0087,14.0507,16653500,81300,535800,0,1700,0
walking,0,16.6676,16.6686,1.5124,10234,103,814397622187,2.4785,2.0095,14.1710,16643400,85400,361500,0,1800,0
walking,0,16.6683,16.6638,1.5135,10234,103,814397788873,2.9814,0.7274,13.6658,16652800,83700,990000,0,1600,0
walking,0,16.6856,16.6750,1.5094,10234,103,814397955511,1.9462,0.7951,14.7074,16665100,85200,517600,0,2200,0
walking,0,16.6679,16.6627,1.5258,10474,103,814398122261,1.9955,0.7623,14.6481,16647700,1823000,300000,0,1700,0
walking,0,16.6660,16.6704,1.7469,16702,101,814398288888,2.5989,1.0135,14.0540,16650400,88200,539100,0,1700,0
walking,0,16.6674,16.6849,1.5053,10310,98,814398455592,2.3658,0.5739,14.2994,16646900,93500,466300,0,1700,0
walking,0,16.6681,16.6672,1.5155,10310,99,814398622441,3.7513,0.6727,12.8965,16652600,95400,257200,0,1900,0
walking,0,16.7667,16.6681,1.7357,10310,99,814398789113,1.8578,0.7509,14.7928,16749500,98500,294200,0,1900,0
walking,0,16.6656,16.6643,1.5145,10310,99,814398955794,1.8686,0.5731,14.7784,16644100,101200,268700,0,3000,0
walking,0,16.6666,16.6706,1.7377,16702,99,814399122437,1.7676,0.8046,14.8852,16647300,94600,645000,0,1800,0
walking,0,16.6689,16.7695,1.4572,10310,99,814399289143,2.1204,0.7237,14.6293,16653200,92400,289500,0,1900,0
walking,0,16.6996,16.6623,1.5032,10310,99,814399456838,2.5755,0.6955,14.0688,16683900,119800,275500,0,1900,0
walking,0,16.6347,16.6654,1.5206,10310,99,814399623461,2.0506,0.6633,14.5969,16611000,122000,329800,0,1800,0
walking,0,16.6659,16.6729,1.5258,10310,99,814399790115,1.8536,0.6379,14.7998,16644500,119700,279300,0,2300,0
walking,0,16.6697,16.7056,1.7930,16702,99,814399956844,1.9252,1.0210,14.7589,16653600,109700,653800,0,1600,0
walking,0,16.6663,16.6314,1.5135,10310,98,814400123900,2.3670,0.6741,14.2443,16643400,113100,280300,0,1900,0
walking,0,16.9199,16.6632,1.4612,10310,98,814400290214,2.0320,0.7498,14.6126,16899100,109000,259800,0,1900,0
walking,0,16.6639,16.6756,1.5278,10310,99,814400456846,2.3840,0.6953,14.2699,16640000,131500,346900,0,1900,0
walking,0,16.6694,16.6624,1.4500,10310,99,814400623602,2.0517,0.7839,14.5919,16654500,98400,317800,0,1700,0
walking,0,16.6651,16.9203,1.7828,16774,99,814400790226,1.9874,1.0260,14.9119,16642800,208300,681900,0,1800,0
walking,0,16.6700,16.6589,1.4449,10310,99,814400959429,1.9745,1.0357,14.6656,16656100,98100,335500,0,1600,0
walking,0,16.6643,16.6728,1.4490,10310,92,814401126018,1.6596,1.1835,14.9950,16639200,112900,321000,0,1700,0
walking,0,16.6696,16.6597,1.4899,10310,93,814401292746,2.1266,1.0355,14.5164,16657500,94400,265300,0,1500,0
walking,0,16.6636,16.6767,1.9098,10310,92,814401459343,2.0998,1.0301,14.5567,16641600,210400,537200,0,3200,0
walking,0,16.6687,16.6567,1.7951,16702,93,814401626110,2.1431,0.6495,14.4962,16651500,101200,758000,0,1500,0
walking,0,16.6700,16.6756,2.1873,10310,93,814401792677,1.8561,1.1277,14.8016,16594500,107100,302200,0,1500,0
walking,0,16.6643,16.6585,1.4469,10310,93,814401959433,2.4019,1.2562,14.2399,16634500,178400,300200,0,2600,0
walking,0,16.6665,16.6689,1.8596,10310,93,814402126018,1.8084,0.9420,14.8432,16649600,101000,329000,0,2100,0
walking,0,16.6681,16.6808,1.8831,10310,90,814402292707,2.2809,1.0361,14.3137,16647400,104300,263700,0,2000,0
walking,0,16.6651,16.6546,1.8606,16702,91,814402459515,2.0079,0.6844,14.6268,16648400,92700,688900,0,2000,0
walking,0,16.6674,16.6683,1.9251,10310,91,814402626061,1.8070,0.6202,14.8428,16650900,94700,263300,0,1800,0
walking,0,16.6677,16.6641,1.5421,10310,91,814402792744,2.2829,0.7409,14.3647,16652000,94500,292700,0,1500,0
walking,0,16.6674,16.6646,1.5462,10310,91,814402959385,2.0378,1.0157,14.6107,16654300,91500,246000,0,1600,0
walking,0,16.6686,16.6674,2.0050,10310,91,814403126031,1.9367,0.9407,14.7144,16648400,94100,288400,0,1500,0
walking,0,16.6654,16.6682,1.9087,16702,91,814403292705,1.8003,0.6059,14.8519,16645700,95100,768400,0,1900,0
walking,0,16.6678,16.6734,1.9333,20666,91,814403459387,1.9153,0.9800,14.7392,16652400,115500,290000,0,1700,0
walking,0,16.6663,16.6675,1.4950,10310,293,814403626121,1.9538,0.7021,14.6947,16645500,97000,269700,0,1800,0
walking,0,16.6695,16.6653,1.5411,10310,292,814403792796,2.0595,3.4728,14.5865,16661100,91000,258000,0,1600,0
walking,0,16.6671,16.6696,1.5667,10310,291,814403959449,2.7330,2.9684,13.9197,16632900,108000,290900,0,1800,0
walking,0,16.6657,16.6636,1.9190,16702,291,814404126145,1.7475,0.6542,14.8982,16644000,105700,664100,0,2300,0
walking,0,16.6669,16.6856,2.1668,10310,290,814404292781,1.9339,0.7542,14.7274,16646100,97900,348000,0,1900,0
walking,0,16.6666,16.6544,1.8668,10310,288,814404459637,2.3543,0.9345,14.2788,16648300,100300,387000,0,2100,0
walking,0,16.6669,16.6643,1.5165,10310,286,814404626181,2.4245,1.2441,14.2196,16645800,110300,272900,0,1900,0
walking,0,16.6677,16.6652,1.5759,10310,287,814404792824,2.2555,0.9752,14.3908,16642600,112500,286800,0,3000,0
walking,0,16.6655,16.6701,1.8330,16702,288,814404959476,2.1998,0.6900,14.4489,16646700,114700,681700,1204300,1900,0
walking,0,16.6732,16.6681,1.5698,10310,287,814405126177,2.0755,0.8541,14.5706,16651500,106100,270700,0,1700,0
walking,0,16.6624,16.6642,1.8842,10310,287,814405292858,2.5041,1.1750,14.1386,16640000,105400,301900,0,1600,0
walking,0,16.6665,16.6653,1.5442,10310,287,814405459500,2.4509,0.7976,14.1960,16651200,110900,350400,0,1900,0
walking,0,16.6657,16.6743,1.5401,10334,287,814405626153,2.4568,0.9431,14.1949,16642400,101500,294900,0,1900,0
walking,0,16.6807,16.6580,1.5585,16702,288,814405792896,2.3618,1.2369,14.2784,16660900,89600,670200,0,1400,0
walking,0,16.6667,16.6702,1.5995,10310,289,814405959476,2.4832,0.8647,14.1683,16653100,89800,241700,0,1400,0
walking,0,16.6658,16.6615,1.5534,48162,287,814406126178,2.3087,1.0346,14.3338,16646600,92100,287900,0,2000,0
walking,0,16.6687,16.6787,1.5565,10334,527,814406292793,2.4274,0.6993,14.2337,16652600,93300,276400,0,1400,0
walking,0,16.6663,16.6694,1.7951,10310,582,814406459580,1.9040,11.5010,14.7493,16648800,97400,346800,0,1800,0
walking,0,16.7106,16.6645,1.8217,16702,580,814406626274,3.7469,10.1727,12.8998,16697500,94200,701500,0,1800,0
walking,0,16.7707,16.6695,1.7756,10310,582,814406792919,2.7810,1.3133,13.8717,16757100,89700,261200,0,1800,0
walking,0,16.6636,16.6640,2.1340,10310,580,814406959614,2.9926,1.3119,13.6563,16725100,133800,333400,0,3000,0
walking,0,16.6673,16.7154,1.8401,10310,579,814407126254,3.1235,1.1242,13.5743,16550700,108300,282100,0,1900,0
walking,0,16.6673,16.7825,2.1944,10310,581,814407293408,2.9775,1.6894,13.7797,16643900,109200,282500,0,1700,0
walking,0,16.6675,16.7506,2.1832,16702,584,814407461233,3.1777,1.0320,13.5475,16650000,111600,765000,0,1400,0
walking,0,16.6656,16.5740,2.5047,10310,584,814407628739,2.6094,1.0475,13.9416,16642400,119100,401900,0,1900,0
walking,0,16.6663,16.6634,2.4525,10310,585,814407794479,3.1185,1.1352,13.5256,16650100,92100,404900,0,1700,0
walking,0,16.6801,16.6702,1.8319,10310,583,814407961113,3.1725,2.1653,13.4777,16661700,106200,455100,0,2100,0
walking,0,16.6674,16.6599,2.1852,10310,584,814408127815,2.6671,1.7829,13.9755,16641800,136600,364600,0,2600,0
walking,0,16.6664,16.6687,2.2364,16702,584,814408294414,2.5624,1.8682,14.0879,16642100,108300,737100,0,2100,0
walking,0,16.6631,16.6847,2.2149,10310,585,814408461101,2.9500,1.7632,13.7119,16646300,98800,331100,0,1600,0
walking,0,16.6669,16.6656,2.2241,10310,585,814408627948,2.9144,1.1496,13.7276,16650700,94700,631100,0,1600,0
walking,0,16.6676,16.6598,1.9958,10310,584,814408794604,3.0567,1.6023,13.5856,16653200,87400,313900,0,1600,0
walking,0,16.6712,16.6617,1.9866,10310,583,814408961202,2.8588,1.1934,13.7877,16656500,94200,296000,0,1500,0
walking,0,16.6651,16.6670,1.9610,16702,572,814409127819,2.9378,1.6255,13.7131,16646600,127200,743400,0,1600,0
walking,0,16.6648,16.6702,2.0255,10310,571,814409294489,2.4246,1.4678,14.2286,16644700,97200,282500,0,1400,0
walking,0,16.6679,16.6734,2.2866,10310,573,814409461191,2.2030,1.1150,14.4536,16649200,89700,290800,0,1500,0
walking,0,16.6673,16.6648,2.0070,10310,573,814409627925,2.7941,1.5107,13.8527,16649900,91700,275600,0,2000,0
walking,0,16.6655,16.6613,1.9968,10310,569,814409794573,2.3084,1.2259,14.3366,16646900,95100,261000,0,1900,0
walking,0,16.6691,16.6680,1.9794,16702,567,814409961186,2.1686,1.4407,14.4807,16653800,91400,766100,0,1800,0
walking,0,16.6657,16.6671,1.9896,10310,567,814410127866,2.2228,1.1140,14.4273,16646100,96600,413300,0,1600,0
walking,0,16.6673,16.6652,2.2671,10310,566,814410294537,2.3180,1.2844,14.3291,16646300,84600,345100,0,1700,0
walking,0,16.6680,16.6729,1.9272,10310,567,814410461189,2.7176,1.0236,13.9364,16655100,89200,318300,0,1500,0
walking,0,16.6653,16.6639,1.9364,10310,567,814410627918,2.7343,0.8745,13.9118,16641800,111400,318500,0,2100,0
walking,0,16.6689,16.6645,1.9866,16702,567,814410794557,2.6552,1.4102,13.9913,16654500,86000,585800,0,1800,0
walking,0,16.6699,16.6754,1.9743,10310,565,814410961202,2.4354,1.5872,14.2200,16658600,105000,404400,0,1600,0
walking,0,16.6643,16.6582,2.4177,10310,561,814411127956,2.3295,1.2867,14.3124,16639100,106100,319200,0,1900,0
walking,0,16.6700,16.6690,1.8831,10310,561,814411294538,2.9897,1.5881,13.6648,16655500,93400,397900,0,1700,0
walking,0,16.6617,16.6796,2.5620,10310,556,814411461228,2.6672,1.1185,13.9917,16633500,105400,296200,0,2100,0
walking,0,16.6672,16.6567,2.4443,16702,549,814411628024,2.4907,0.9503,14.1486,16651400,92200,593900,0,2100,0
walking,0,16.7842,16.6775,2.4873,10310,547,814411794591,2.3632,1.1847,14.2925,16768900,84100,476700,0,1900,0
walking,0,16.5969,16.6513,2.2620,10310,543,814411961366,2.5584,1.0052,14.0753,16577800,89300,253800,0,1300,0
walking,0,16.6690,16.6680,2.1740,10310,543,814412127879,2.2254,1.0621,14.4261,16652500,89400,340600,0,1700,0
walking,0,16.6639,16.7868,1.9046,10310,433,814412294559,2.3445,0.7905,14.4245,16643900,153600,405600,0,2500,0
walking,0,16.6701,16.5939,2.1545,16702,543,814412462427,2.0793,1.4205,14.4986,16654600,91900,760800,0,1600,0
walking,0,16.6654,16.6711,1.9323,10310,544,814412628366,2.5746,1.1980,14.0780,16643900,132600,362900,0,1600,0
walking,0,16.6652,16.6619,2.2569,10310,543,814412795077,3.0786,1.0481,13.5655,16649900,86900,272100,0,1600,0
walking,0,16.6696,16.6744,1.9988,10310,543,814412961696,2.7751,1.1241,13.8798,16656300,87100,305500,0,1400,0
walking,0,16.6662,16.6600,1.9425,10310,541,814413128440,2.8914,1.3275,13.7526,16646500,101800,317300,0,1400,0
walking,0,16.6683,16.6665,2.2159,16702,537,814413295040,1.9383,1.0156,14.7118,16650200,98500,533400,0,1400,0
walking,0,16.6662,16.6752,1.9988,10310,535,814413461705,2.1049,1.1125,14.5516,16643800,97000,424100,0,1400,0
walking,0,16.6669,16.6647,2.2149,10310,535,814413628457,2.5279,1.3875,14.1188,16652900,121400,266900,0,1800,0
walking,0,16.6694,16.6694,1.9384,10310,535,814413795104,2.3229,1.5301,14.3276,16657500,92900,265200,0,2300,0
