phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls
walking,0,2.8008,2.1597,0.0000,36,200
walking,0,2.5244,1.9369,0.0000,36,200
walking,0,1.5586,2.9510,0.0000,36,200
walking,0,2.0484,2.7979,0.0000,36,200
walking,0,1.7201,2.5240,0.0000,36,200
walking,0,1.7869,1.5584,0.0000,36,200
walking,0,1.7692,2.0471,0.0000,36,200
walking,0,2.0589,1.7213,0.0000,36,200
walking,0,2.4670,1.7873,0.0000,36,200
walking,0,1.8786,1.7693,0.0000,36,197
walking,0,1.4199,2.0588,0.0000,36,196
walking,0,1.8480,2.4673,0.0000,36,197
walking,0,1.9439,1.8796,0.0000,36,197
walking,0,1.9559,1.4195,0.0000,36,197
walking,0,1.9313,1.8465,0.0000,36,197
walking,0,1.8012,1.9434,0.0000,36,197
walking,0,1.9183,1.9574,0.0000,36,196
walking,0,2.0351,1.9305,0.0000,36,196
walking,0,1.9873,1.8009,0.0000,36,197
walking,0,2.6658,1.9196,0.0000,36,197
walking,0,3.0306,2.0339,0.0000,12332,197
walking,0,2.1333,1.9881,0.0000,36,157
walking,0,1.3757,2.6653,0.0000,36,157
walking,0,14.3779,3.0313,0.0000,36,156
walking,0,2.6827,2.1328,0.0000,36,157
walking,0,1.3861,1.3754,0.0000,36,157
walking,0,1.8004,14.3868,0.0000,36,157
walking,0,2.6623,2.6763,0.0000,36,157
walking,0,2.7598,1.3838,0.0000,36,157
walking,0,1.5824,1.7988,0.0000,36,157
walking,0,1.4024,2.6634,0.0000,36,156
walking,0,2.2291,2.7737,0.0000,36,157
walking,0,1.8776,1.5672,0.0000,36,157
walking,0,2.2420,1.4040,0.0000,36,157
walking,0,1.6719,2.2306,0.0000,36,157
walking,0,1.7097,1.8755,0.0000,36,157
walking,0,1.6284,2.2413,0.0000,36,156
walking,0,1.6673,1.6730,0.0000,36,157
walking,0,1.8812,1.7105,0.0000,36,157
walking,0,1.6357,1.6270,0.0000,36,157
walking,0,1.7692,1.6684,0.0000,36,157
walking,0,1.5864,1.8819,0.0000,36,156
walking,0,2.1234,1.6347,0.0000,36,153
walking,0,1.7450,1.7698,0.0000,36,153
walking,0,1.6226,1.5851,0.0000,36,153
walking,0,2.1623,2.1250,0.0000,36,153
walking,0,2.2646,1.7426,0.0000,36,153
walking,0,2.6889,1.6233,0.0000,36,153
walking,0,1.6039,2.1630,0.0000,36,153
walking,0,3.4644,2.2637,0.0000,36,153
walking,0,7.1387,2.6888,0.0000,36,153
walking,0,1.8081,1.6049,0.0000,36,153
walking,0,1.2326,3.4655,0.0000,36,151
walking,0,1.9211,7.1406,0.0000,36,153
walking,0,1.9013,1.8048,0.0000,36,153
walking,0,2.1470,1.2326,0.0000,36,153
walking,0,2.3398,1.9241,0.0000,36,153
walking,0,1.9009,1.9002,0.0000,36,153
walking,0,1.7458,2.1449,0.0000,36,153
walking,0,2.3211,2.3423,0.0000,36,153
walking,0,2.2051,1.9004,0.0000,36,153
walking,0,1.8052,1.7446,0.0000,36,153
walking,0,1.6896,2.3218,0.0000,36,153
walking,0,1.6415,2.2062,0.0000,36,153
walking,0,1.7112,1.8033,0.0000,36,153
walking,0,2.5258,1.6888,0.0000,36,153
walking,0,1.5463,1.6407,0.0000,36,152
walking,0,1.6014,1.7131,0.0000,36,154
walking,0,1.4897,2.5262,0.0000,36,154
walking,0,2.1876,1.5451,0.0000,36,152
walking,0,1.8392,1.5999,0.0000,36,154
walking,0,1.4852,1.4909,0.0000,36,154
walking,0,1.6563,2.1900,0.0000,36,154
walking,0,1.6283,1.8356,0.0000,36,154
walking,0,1.5034,1.4869,0.0000,36,154
walking,0,1.8181,1.6567,0.0000,36,153
walking,0,11.6443,1.6275,0.0000,36,154
walking,0,2.6557,1.5028,0.0000,104,154
walking,0,1.4389,1.8200,0.0000,36,154
walking,0,1.5712,11.6511,0.0000,36,154
walking,0,1.7639,2.6487,0.0000,36,154
walking,0,2.3059,1.4377,0.0000,36,154
walking,0,1.7423,1.5735,0.0000,36,154
walking,0,1.6870,1.7618,0.0000,36,154
walking,0,1.5097,2.3069,0.0000,36,154
walking,0,1.7000,1.7420,0.0000,36,154
walking,0,2.3616,1.6865,0.0000,36,154
walking,0,1.5492,1.5081,0.0000,36,154
walking,0,1.5026,1.7024,0.0000,36,154
walking,0,1.6625,2.3601,0.0000,36,154
walking,0,2.2762,1.5483,0.0000,36,154
walking,0,1.6322,1.5043,0.0000,36,154
walking,0,1.5245,1.6629,0.0000,36,154
walking,0,2.4733,2.2771,0.0000,36,154
walking,0,1.6681,1.6313,0.0000,36,154
walking,0,1.8105,1.5244,0.0000,36,154
walking,0,2.3695,2.4736,0.0000,36,154
walking,0,1.9490,1.6683,0.0000,36,154
walking,0,1.7210,1.8090,0.0000,36,154
walking,0,1.6407,2.3705,0.0000,36,154
walking,0,2.2159,1.9495,0.0000,36,152
walking,0,1.9281,1.7192,0.0000,36,152
walking,0,1.7520,1.6403,0.0000,36,152
walking,0,1.6511,2.2200,0.0000,36,152
walking,0,1.8767,1.9252,0.0000,36,152
walking,0,1.7193,1.7531,0.0000,36,152
walking,0,12.6382,1.6495,0.0000,36,152
walking,0,13.0999,1.8781,0.0000,36,151
walking,0,2.2740,1.7180,0.0000,36,120
walking,0,1.8253,12.6487,0.0000,36,120
walking,0,1.7105,13.0997,0.0000,36,120
walking,0,2.4039,2.2660,0.0000,36,120
walking,0,2.3207,1.8226,0.0000,36,120
walking,0,3.0061,1.7115,0.0000,36,120
walking,0,1.7932,2.4050,0.0000,36,120
walking,0,1.5722,2.3197,0.0000,36,120
walking,0,1.7937,3.0088,0.0000,36,120
walking,0,2.0715,1.7924,0.0000,36,120
walking,0,2.0201,1.5699,0.0000,36,120
walking,0,1.9949,1.7948,0.0000,36,120
walking,0,1.7975,2.0749,0.0000,36,120
walking,0,1.9583,2.0176,0.0000,36,120
walking,0,1.8042,1.9946,0.0000,36,120
walking,0,2.4889,1.7986,0.0000,36,120
walking,0,2.1475,1.9568,0.0000,36,120
walking,0,2.8680,1.8041,0.0000,36,120
walking,0,1.8785,2.4881,0.0000,36,120
walking,0,1.8297,2.1503,0.0000,36,120
walking,0,1.9907,2.8681,0.0000,36,120
walking,0,2.3873,1.8771,0.0000,36,120
walking,0,2.7363,1.8310,0.0000,36,120
walking,0,2.0240,1.9902,0.0000,36,120
walking,0,2.6519,2.3871,0.0000,36,120
walking,0,2.0117,2.7387,0.0000,36,120
walking,0,1.8365,2.0219,0.0000,36,120
walking,0,2.7755,2.6525,0.0000,36,119
walking,0,3.4378,2.0127,0.0000,36,119
walking,0,15.6513,1.8347,0.0000,36,119
walking,0,2.8882,2.7781,0.0000,36,119
walking,0,2.8995,3.4453,0.0000,36,119
walking,0,2.9631,15.6510,0.0000,36,119
walking,0,3.0303,2.8817,0.0000,36,119
walking,0,3.0455,2.9019,0.0000,36,119
walking,0,2.4081,2.9606,0.0000,36,119
walking,0,2.6680,3.0312,0.0000,36,119
walking,0,2.2786,3.0466,0.0000,36,118
walking,0,3.1199,2.4073,0.0000,36,119
walking,0,2.3811,2.6655,0.0000,36,119
walking,0,2.1792,2.2784,0.0000,36,119
walking,0,1.6791,3.1190,0.0000,36,119
walking,0,2.5429,2.3819,0.0000,36,119
walking,0,2.7065,2.1780,0.0000,36,119
walking,0,2.1570,1.6792,0.0000,36,119
walking,0,2.6068,2.5432,0.0000,36,119
walking,0,2.2172,2.7100,0.0000,36,119
walking,0,2.6205,2.1547,0.0000,36,119
walking,0,2.1567,2.6081,0.0000,36,119
walking,0,2.2666,2.2168,0.0000,36,117
walking,0,2.4210,2.6222,0.0000,36,117
walking,0,2.0921,2.1521,0.0000,36,117
walking,0,2.0741,2.2657,0.0000,36,117
walking,0,2.1927,2.4242,0.0000,36,115
walking,0,2.0758,2.0914,0.0000,36,117
walking,0,1.4723,2.0712,0.0000,36,117
walking,0,3.1957,2.1937,0.0000,36,116
walking,0,2.0059,2.0755,0.0000,36,114
walking,0,2.0451,1.4719,0.0000,36,117
walking,0,1.8535,3.1977,0.0000,36,117
walking,0,1.8686,2.0044,0.0000,36,117
walking,0,1.9577,2.0458,0.0000,36,117
walking,0,2.3093,1.8512,0.0000,36,117
walking,0,1.7104,1.8710,0.0000,36,117
walking,0,1.4439,1.9587,0.0000,36,116
walking,0,1.8156,2.3060,0.0000,36,114
walking,0,2.6259,1.7115,0.0000,36,110
walking,0,1.9816,1.4431,0.0000,36,110
walking,0,1.3726,1.8166,0.0000,36,110
walking,0,1.9269,2.6254,0.0000,36,110
walking,0,2.0613,1.9810,0.0000,36,110
walking,0,2.4396,1.3732,0.0000,36,109
walking,0,1.9065,1.9261,0.0000,36,110
walking,0,1.7474,2.0649,0.0000,36,110
walking,0,1.5017,2.4388,0.0000,36,108
walking,0,2.6530,1.9050,0.0000,36,108
walking,0,2.2903,1.7454,0.0000,36,108
walking,0,1.8216,1.5038,0.0000,36,108
walking,0,1.6781,2.6519,0.0000,36,105
walking,0,2.0066,2.2912,0.0000,36,108
walking,0,2.6054,1.8212,0.0000,36,108
walking,0,1.9815,1.6794,0.0000,36,103
walking,0,1.4857,2.0087,0.0000,36,103
walking,0,1.7281,2.6027,0.0000,36,103
walking,0,1.8343,1.9813,0.0000,36,102
walking,0,1.7944,1.4837,0.0000,36,103
walking,0,2.0991,1.7293,0.0000,36,101
walking,0,2.4906,1.8345,0.0000,36,103
walking,0,2.3323,1.7943,0.0000,36,103
walking,0,1.9709,2.1003,0.0000,36,103
walking,0,1.4731,2.4913,0.0000,36,103
walking,0,1.8785,2.3325,0.0000,36,103
walking,0,1.8966,1.9691,0.0000,36,103
walking,0,1.9839,1.4725,0.0000,36,103
walking,0,1.7772,1.8798,0.0000,36,103
walking,0,1.9870,1.8963,0.0000,36,103
walking,0,2.5545,1.9832,0.0000,36,103
walking,0,2.3588,1.7947,0.0000,36,103
walking,0,2.1914,1.9707,0.0000,36,103
walking,0,2.1063,2.5539,0.0000,36,103
walking,0,2.5558,2.3579,0.0000,36,103
walking,0,2.1987,2.2010,0.0000,36,103
walking,0,1.7917,2.0972,0.0000,36,103
walking,0,2.1818,2.5567,0.0000,36,103
walking,0,2.5730,2.2011,0.0000,36,103
walking,0,2.0406,1.7890,0.0000,36,103
walking,0,1.5645,2.1823,0.0000,36,103
walking,0,2.0065,2.5733,0.0000,36,101
walking,0,2.7307,2.0409,0.0000,36,103
walking,0,2.7582,1.5629,0.0000,36,103
walking,0,1.5525,2.0067,0.0000,36,102
walking,0,2.7230,2.7336,0.0000,36,103
walking,0,2.5229,2.7564,0.0000,36,103
walking,0,2.5610,1.5503,0.0000,36,103
walking,0,1.4811,2.7260,0.0000,36,103
walking,0,2.0609,2.5230,0.0000,36,103
walking,0,1.8748,2.5603,0.0000,36,103
walking,0,3.3251,1.4783,0.0000,36,103
walking,0,2.1811,2.0634,0.0000,36,103
walking,0,1.7592,1.8844,0.0000,36,103
walking,0,3.3082,3.3166,0.0000,36,103
walking,0,1.9573,2.1827,0.0000,36,103
walking,0,1.8941,1.7576,0.0000,36,102
walking,0,3.7247,3.3073,0.0000,13112,103
walking,0,2.0368,1.9569,0.0000,36,84
walking,0,1.3790,1.8935,0.0000,36,83
walking,0,1.8974,3.7266,0.0000,36,84
walking,0,1.7258,2.0357,0.0000,36,84
walking,0,2.0536,1.3772,0.0000,36,84
walking,0,1.3184,1.8992,0.0000,36,84
walking,0,1.6748,1.7239,0.0000,36,76
walking,0,1.8190,2.0615,0.0000,36,92
walking,0,1.7558,1.3113,0.0000,36,84
walking,0,3.3238,1.6764,0.0000,36,84
walking,0,1.9869,1.8157,0.0000,36,84
